Date&Time,Date,Time,entry_id,temp,hum,lux
2024-06-01 00:00:56,2024-06-01,00:00:56,151477,24.9,49.2,1.7
2024-06-01 00:01:58,2024-06-01,00:01:58,151478,25.0,49.8,1.7
2024-06-01 00:02:59,2024-06-01,00:02:59,151479,24.9,49.3,1.7
2024-06-01 00:04:00,2024-06-01,00:04:00,151480,24.9,49.7,1.7
2024-06-01 00:05:01,2024-06-01,00:05:01,151481,24.9,49.6,1.7
2024-06-01 00:06:02,2024-06-01,00:06:02,151482,24.9,48.9,1.7
2024-06-01 00:07:06,2024-06-01,00:07:06,151483,24.9,49.6,1.7
2024-06-01 00:08:07,2024-06-01,00:08:07,151484,24.9,49.6,1.7
2024-06-01 00:09:08,2024-06-01,00:09:08,151485,24.9,49.2,1.7
2024-06-01 00:10:09,2024-06-01,00:10:09,151486,24.9,49.0,1.7
2024-06-01 00:11:10,2024-06-01,00:11:10,151487,24.9,49.3,1.7
2024-06-01 00:12:11,2024-06-01,00:12:11,151488,24.9,49.1,1.7
2024-06-01 00:13:12,2024-06-01,00:13:12,151489,24.9,49.1,1.7
